1,,Kérdés,Helyes válasz,Rossz válasz,Rossz válasz,
2,,"Milyen előkészületeket kell tenni, kikötés előtt?","Kihelyezni az ütköző ballonokat, előkészíteni a kikötő köteleket.",Értesíteni a vízirendészetet az érkezésünkről.,A kikötő kötélre kötélvég nyolcast kell kötni.,
3,,Miben segít a hajócsavar forgásirányának ismerete?,Segít a manőverezésben.,Segít az előzésben.,Segíti a nagy sebességű kanyarodást.,
4,,Miben segít a hajócsavar forgásirányának ismerete?,Segíti az iránytartást.,Segít az előzésben.,Segíti a nagy sebességű kanyarodást.,
5,,"Hogyan közelíti meg kikötéskor a mólót erős, a part irányából fújó szélben?",Közel merőlegesen.,5 - 10 fokos szögben.,Csúszóra dobott horgonnyal.,
6,,Általában melyik kötél megkötésével kell kezdeni a kikötést?,Az orrkötéllel.,A farkötéllel.,Mindegy,
7,,Milyen haladási sebesség mellett a leghatásosabb az orrsugárkormány?,"Csak kis, a kikötői manőverezéseknél használt sebességeknél.",A hajó teljes sebességtartományában.,Csak nagy sebességeknél.,
8,,Kikötőben ledobott horgonyunkról a többi hajóvezető honnan szerez tudomást?,A horgonyra kötött bójáról.,"Nem kell tudniuk a ledobott horgonyról, mert nem zavarja a kikötőben közlekedőket.","Tilos bóját kötni a horgonyra, érkező, vagy induló hajót szóban kell figyelmeztetni a horgonyra, vagy a kikötőmestert kell tájékoztatni róla.",
9,,"Hogyan dönti el, hogy a kikötő használatához kellő vízmélység van-e?","Az üzemeltető szóbeli, neten/kikötői szabályzatban közzétett tájékoztatása alapján.","A kikötőkben olyan vízmélységet szoktak - ha kell kotrással - fenntartani, ami mellett a behajózás akadálytalan a kedvtelési kishajók számára.","Kétség esetén csáklyával ellenőrzöm a kikötő szája előtt a vízmélységet, és ha a merülésnél kevesebb mint egy méterrel több, akkor nem kísérlem meg a behajózást.",
10,,Idegen kikötőben veszteglés esetén a kikötő üzemeltetője visszatarthatja/elkérheti a hajólevelet?,"A hajólevelet elkérheti, és díjfizetésig visszatarthatja.","A hajólevelet elkérheti, de nem tarthatja vissza.","A hajólevelet csak megnézheti, de nem tarthatja vissza.",
11,,"Kikötőben túl szűken bevett fordulónál, a hajó fara a  partfalnak ütközik. Mi történhet külmotoros, illetve passzív kormányos hajó esetén ekkor?","Külmotoros hajónál a hajócsavar, passzív kormányos hajónál a kormánylapát sérülhet.","Külmotoros hajónál a kormánylapát, passzív kormányos hajónál a hajócsavar sérülhet.",Mindkét esetben sérül a hajócsavar.,
12,,Általában melyik kikötő kötél elengedésével kell kezdeni az elindulás manővert?,A farkötél,Az orr kötél,Mindegy,
13,,Induláskor a hajó orráról kötél esik a vízbe. Mit tesz?,Üresbe veszem az irányváltót.,Gázt adok.,"Az irányváltóval nem bajlódok, azonnal leállítom a motort.",
14,,"Külmotoros, faránál terhelt hajó ideális siklásszögének beállításához, kell e a trimmelést módosítani?","A meghajtó szárat a hajó farához közelebb kell állítani, mert így a lefelé is ható tolóerő megemeli a farát, és süllyeszti az orrát","A meghajtó szárat a fartól távolabb kell állítani, mert így a lefelé is ható tolóerő megemeli a farát, és süllyeszti az orrát","A hajótest siklásba hozásához kell csak a trimmelésen állítani, az ideális siklásszöghöz ezután már nem kell módosítani rajta",
