1,Kérdés,Helyes / Rossz válasz,,Helyes / Rossz válasz,,Helyes / Rossz válasz,,,
2,Mit értünk hajón a Szabályzat I. része alapján? Hajó,"a nagyhajó, a kishajó, a vízi sporteszköz és az úszómű.",N,"a belvízi hajó, beleértve a kishajót és a komp, továbbá a tengeri hajó és az úszómunkagép.",I,minden vízijármű és úszómunkagép.,N,,
3,Folytassa a meghatározást! Géphajó az a saját,"gépi berendezéssel rendelkező hajót, amely önálló mozgásra alkalmas.",N,"gépi berendezést is működtető hajót, kivéve azokat, amelyeknél a motort csak a műveletképesség növelésére használják.",N,"gépi berendezéssel hajtott hajó, kivéve azokat a hajókat, amelyeknél a motort csak korlátozott mértékű helyváltoztatásra, illetve azok vontatásakor vagy tolásakor a műveletképesség növelésére használják.",I,,
4,Mit értünk vitorlás hajón? Vitorlás hajó,a vitorlával/vitorlákkal felszerelt hajó.,N,a vitorlát/vitorlákat is használó hajó.,N,a csak vitorlával/vitorlákkal haladó hajó.,I,,
5,Minek minősül a vitorla mellett saját gépi hajtóberendezését is használó hajó?,Géphajónak.,I,Vitorlás hajónak.,N,Segédmotoros vitorlásnak.,N,teszt-1235.jpg,teszt-1235.jpg
6,Minek minősül a vitorla mellett saját gépi hajtóberendezését is használó hajó?,Géphajónak.,I,Vitorlás hajónak.,N,Segédmotoros vitorlásnak.,N,teszt-1236.jpg,teszt-1236.jpg
7,Minek minősül a vitorla mellett saját gépi hajtóberendezését is használó hajó?,Géphajónak.,I,Vitorlás hajónak.,N,Segédmotoros vitorlásnak.,N,teszt-1234.jpg,teszt-1234.jpg
8,Minek minősül a vitorla mellett saját gépi hajtóberendezését is használó hajó?,Géphajónak.,I,Vitorlás hajónak.,N,Segédmotoros vitorlásnak.,N,xxx-2303.jpg,xxx-2303.jpg
9,"Kishajónak minősül-e az a 20 méternél kisebb hosszúságú hajó, amelyen 12 főnél több utas szállítását engedélyezte a hajózási hatóság?",Nem.,I,Igen.,N,"Sem a hossznak, sem a befogadóképességnek nincs jelentősége, a hajó üzembe helyezésekor a hajózási hatóság dönt a minősítésről.",N,xxx-1661.jpg,xxx-1661.jpg
10,"Kishajónak minősül-e az a 20 méternél kisebb hosszúságú hajó, amelyen 12 főnél több utas szállítását engedélyezte a hajózási hatóság?",Nem.,I,Igen.,N,"Sem a hossznak, sem a befogadóképességnek nincs jelentősége, a hajó üzembe helyezésekor a hajózási hatóság dönt a minősítésről.",N,xxx-1659.jpg,xxx-1659.jpg
11,"Kishajónak minősül-e az a 20 méternél kisebb hosszúságú hajó, amelyen 12 főnél több utas szállítását engedélyezte a hajózási hatóság?",Nem.,I,Igen.,N,"Sem a hossznak, sem a befogadóképességnek nincs jelentősége, a hajó üzembe helyezésekor a hajózási hatóság dönt a minősítésről.",N,teszt-0095.jpg,teszt-0095.jpg
12,Mit értünk úszómunkagépen a Szabályzat I. része alapján?,"Hajóúton, illetve kikötőkben való munkavégzésre szolgáló úszó létesítmény.",N,"Gépi meghajtó berendezéssel nem rendelkező víziutakon, illetve kikötőkben való munkavégzésre szolgáló úszó létesítmény.",N,"Gépi berendezéssel ellátott víziutakon, illetve kikötőkben való munkavégzésre szolgáló úszó létesítmény.",I,teszt-0072.jpg,teszt-0072.jpg
13,Mit értünk úszómunkagépen a Szabályzat I. része alapján?,"Hajóúton, illetve kikötőkben való munkavégzésre szolgáló úszó létesítmény.",N,"Gépi meghajtó berendezéssel nem rendelkező víziutakon, illetve kikötőkben való munkavégzésre szolgáló úszó létesítmény.",N,"Gépi berendezéssel ellátott víziutakon, illetve kikötőkben való munkavégzésre szolgáló úszó létesítmény.",I,teszt-0073.jpg,teszt-0073.jpg
14,Mit értünk gyorsjáratú hajón a Szabályzat I. része alapján?,Minden hordszárnyas és a légpárnás hajót.,N,"Minden olyan géphajót, amely a vízfelszínhez képest 40 km/órát meghaladó sebességre képes.",N,"Minden olyan géphajót a kishajó kivételével, amely a vízfelszínhez képest 40 km/órát meghaladó sebességre képes.",I,teszt-1396.jpg,teszt-1396.jpg
15,Mit értünk gyorsjáratú hajón a Szabályzat I. része alapján?,Minden hordszárnyas és a légpárnás hajót.,N,"Minden olyan géphajót, amely a vízfelszínhez képest 40 km/órát meghaladó sebességre képes.",N,"Minden olyan géphajót a kishajó kivételével, amely a vízfelszínhez képest 40 km/órát meghaladó sebességre képes.",I,xxx-1552.jpg,xxx-1552.jpg
16,Mit értünk gyorsjáratú hajón a Szabályzat I. része alapján?,Minden hordszárnyas és a légpárnás hajót.,N,"Minden olyan géphajót, amely a vízfelszínhez képest 40 km/órát meghaladó sebességre képes.",N,"Minden olyan géphajót a kishajó kivételével, amely a vízfelszínhez képest 40 km/órát meghaladó sebességre képes.",I,teszt-1397.jpg,teszt-1397.jpg
17,Válassza ki az úszómű fogalmát a Szabályzat I. része alapján!,"Helyváltoztatásra szolgáló úszó létesítmény (pl. fürdőhajó, úszódokk, kikötőponton, csónakház).",N,"Rendeltetésszerűen helyhez kötött úszó létesítmény, mint például fürdőhajó, úszódokk, kikötőponton, csónakház.",I,"Helyváltoztatásra alkalmatlan úszó létesítmény (pl.: fürdőhajó, csónakház).",N,teszt-1407.jpg,teszt-1407.jpg
18,Válassza ki az úszómű fogalmát a Szabályzat I. része alapján!,"Helyváltoztatásra szolgáló úszó létesítmény (pl. fürdőhajó, úszódokk, kikötőponton, csónakház).",N,"Rendeltetésszerűen helyhez kötött úszó létesítmény, mint például fürdőhajó, úszódokk, kikötőponton, csónakház.",I,"Helyváltoztatásra alkalmatlan úszó létesítmény (pl.: fürdőhajó, csónakház).",N,teszt-1408.jpg,teszt-1408.jpg
19,Válassza ki az úszómű fogalmát a Szabályzat I. része alapján!,"Helyváltoztatásra szolgáló úszó létesítmény (pl. fürdőhajó, úszódokk, kikötőponton, csónakház).",N,"Rendeltetésszerűen helyhez kötött úszó létesítmény, mint például fürdőhajó, úszódokk, kikötőponton, csónakház.",I,"Helyváltoztatásra alkalmatlan úszó létesítmény (pl.: fürdőhajó, csónakház).",N,teszt-1410.jpg,teszt-1410.jpg
20,Folytassa  a meghatározást! Úszó testek köteléke,a géphajó és a mellévett alakzatban tovább komp együttese és a vízijármű.,N,"a géphajó és az általa tolt, vontatott, illetve mellévett alakzatban továbbított hajók összessége.",N,"a tutaj, továbbá helyváltoztatásra szolgáló és hajónak vagy úszóműnek nem tekinthető egyéb létesítmény, kötelék vagy tárgy.",I,,
21,Egy gépi hajtású kishajó minősülhet-e gyorsjáratú hajónak?,"Igen akkor, ha a vízfelszínhez viszonyított sebessége meghaladja a 40 km/órát.",N,"Nem, a gépi hajtási kishajó függetlenül a vízfelszínhez viszonyított sebességétől nem minősül gyorsjáratú hajónak.",I,"Igen, de csak abban az esetben, ha a vízfelszínhez viszonyított sebessége meghaladja az 50 km/órát.",N,,
22,Mi a mellévett alakzatnak?,"Olyan mereven összecsatolt kötelék, amelyben legalább egy gépnélküli hajó a kötelék haladását biztosító géphajó előtt helyezkedik el.",N,"Egymáshoz oldalukkal csatolt hajókból álló merev kötelék, amelyek közül egyik sem helyezkedik el az alakzatot továbbító géphajó előtt.",I,"Olyan kötelék, amelyben legalább két hajó összecsatolva halad.",N,,
23,Folytassa a meghatározást! Vontatott kötelék az,"egy vagy több uszályból összeállított, géphajó (vontatóhajó) által továbbított merev kötelék, amely nem tartalmaz úszóművet vagy úszóműveket.",N,"egy vagy több hajóból, úszóműből vagy úszó testek kötelékéből összeállított, egy vagy több géphajó (vontatóhajó) által vontatott kötelék.",I,"olyan merev kötelék, amelynél a géphajó vagy géphajók mögött helyezkednek el a továbbított úszó létesítmények.",N,teszt-1213.jpg,teszt-1213.jpg
24,Folytassa a meghatározást! Vontatott kötelék az,"egy vagy több uszályból összeállított, géphajó (vontatóhajó) által továbbított merev kötelék, amely nem tartalmaz úszóművet vagy úszóműveket.",N,"egy vagy több hajóból, úszóműből vagy úszó testek kötelékéből összeállított, egy vagy több géphajó (vontatóhajó) által vontatott kötelék.",I,"olyan merev kötelék, amelynél a géphajó vagy géphajók mögött helyezkednek el a továbbított úszó létesítmények.",N,teszt-1212.jpg,teszt-1212.jpg
25,Folytassa a meghatározást! Vontatott kötelék az,"egy vagy több uszályból összeállított, géphajó (vontatóhajó) által továbbított merev kötelék, amely nem tartalmaz úszóművet vagy úszóműveket.",N,"egy vagy több hajóból, úszóműből vagy úszó testek kötelékéből összeállított, egy vagy több géphajó (vontatóhajó) által vontatott kötelék.",I,"olyan merev kötelék, amelynél a géphajó vagy géphajók mögött helyezkednek el a továbbított úszó létesítmények.",N,xxx-1731.jpg,xxx-1731.jpg
26,Folytassa a meghatározást! Vontatott kötelék az,"egy vagy több uszályból összeállított, géphajó (vontatóhajó) által továbbított merev kötelék, amely nem tartalmaz úszóművet vagy úszóműveket.",N,"egy vagy több hajóból, úszóműből vagy úszó testek kötelékéből összeállított, egy vagy több géphajó (vontatóhajó) által vontatott kötelék.",I,"olyan merev kötelék, amelynél a géphajó vagy géphajók mögött helyezkednek el a továbbított úszó létesítmények.",N,teszt-1422.jpg,teszt-1422.jpg
27,Folytassa a meghatározást! Tolt kötelék az olyan,"merev kötelék, amelyben a kötelékben található hajók közül legalább egy a köteléket továbbító és tolóhajónak nevezett géphajó előtt helyezkedik el.",I,"merev kötelék, amelyben a kötelékben található hajók közül legfeljebb egy a köteléket továbbító és tolóhajónak nevezett géphajó mellett helyezkedik el.",N,"merev kötelék, amelyben a kötelékben található hajók mindegyike kizárólag a köteléket továbbító és tolóhajónak nevezett géphajó előtt helyezkedhet el.",N,,
28,Folytassa a meghatározást! A motoros vízi sporteszköz olyan,"belsőégésű motoros, vízsugárhajtású 4 m hosszt el nem érő vízijármű, amelynek rendeltetésszerű működtetését a hajótesten - és nem annak belsejében - ülő, álló vagy térdelő személy vagy személyek végzik.",N,"sport- és szabadidős célú belsőégésű motoros, vízsugárhajtású 4 m hosszt el nem érő vízijármű, amelynek rendeltetésszerű működtetését a hajótesten - és nem annak belsejében - ülő, álló vagy térdelő személy vagy személyek végzik.",I,"nem sport- és szabadidős célú belsőégésű motoros, vízsugárhajtású 4 m hosszt el nem érő vízijármű, amelynek rendeltetésszerű működtetését a hajótesten - és nem annak belsejében - ülő, álló vagy térdelő személy vagy személyek végzik.",N,,
29,Mit tekintünk vitorlás vízi sporteszköznek?,Legfeljebb 3 m2 névleges vitorlafelületű vízi sporteszköz.,N,Legalább 3 m2 névleges vitorlafelületű vízi sporteszköz.,I,Legalább 5 m2 névleges vitorlafelületű vízi sporteszköz.,N,xxx-1648.jpg,xxx-1648.jpg
30,Mit tekintünk vitorlás vízi sporteszköznek?,Legfeljebb 3 m2 névleges vitorlafelületű vízi sporteszköz.,N,Legalább 3 m2 névleges vitorlafelületű vízi sporteszköz.,I,Legalább 5 m2 névleges vitorlafelületű vízi sporteszköz.,N,xxx-1650.jpg,xxx-1650.jpg
31,Milyen előírás vonatkozik a nyilvántartásra kötelezett kishajó vezetőjére az alábbiak közül?,A vezetőnek a kishajó vezetéséhez szükséges képesítéssel kell rendelkeznie.,I,A vezetőnek kell a hajón tartózkodók közül a legmagasabb képesítéssel rendelkeznie.,N,A hajó vezetőjének legalább gépnélküli hajóvezetői képesítéssel kell rendelkeznie.,N,,
32,Hárul-e kötelezettség a kishajó vezetőjére az illetékes hatóság ellenőrzési tevékenységével kapcsolatban?,"Igen, biztosítani kell az ellenőrzés lehetőségét, ezen belül azt is, hogy a hatóság képviselői haladéktalanul a fedélzetre léphessenek.",I,"Nem, az illetékes hatóság ellenőrzési tevékenységével kapcsolatban nincsenek kötelezettségei.",N,"Igen, haladéktalanul értesítenie kell a kishajó tulajdonosát, vagy üzemeltetőjét az ellenőrzés tervezett időpontjáról jelenlétük biztosítása, nyilatkozattételi jogosultságuk érvényesítése céljából.",N,,
33,Mit jelöl a hajón látható kettős sárga kúp? A kettős sárga kúp,12 főnél több utas szállítására engedéllyel rendelkező 20 méternél kisebb testhosszúságú hajót jelöl.,I,20 főnél több utas szállítására engedéllyel rendelkező 15 méternél nagyobb testhosszúságú hajót jelöl.,N,15 főnél több utas szállítására engedéllyel rendelkező 20 méternél nagyobb testhosszúságú hajót jelöl.,N,xxx-2461.jpg,xxx-2461.jpg
34,Mit jelöl a hajón látható kettős sárga kúp? A kettős sárga kúp,12 főnél több utas szállítására engedéllyel rendelkező 20 méternél kisebb testhosszúságú hajót jelöl.,I,20 főnél több utas szállítására engedéllyel rendelkező 15 méternél nagyobb testhosszúságú hajót jelöl.,N,15 főnél több utas szállítására engedéllyel rendelkező 20 méternél nagyobb testhosszúságú hajót jelöl.,N,xxx-1617.jpg,xxx-1617.jpg
35,Mit jelöl a hajón látható kettős sárga kúp? A kettős sárga kúp,12 főnél több utas szállítására engedéllyel rendelkező 20 méternél kisebb testhosszúságú hajót jelöl.,I,20 főnél több utas szállítására engedéllyel rendelkező 15 méternél nagyobb testhosszúságú hajót jelöl.,N,15 főnél több utas szállítására engedéllyel rendelkező 20 méternél nagyobb testhosszúságú hajót jelöl.,N,xxx-2278.jpg,xxx-2278.jpg
36,Mit jelöl a hajón látható kettős sárga kúp? A kettős sárga kúp,12 főnél több utas szállítására engedéllyel rendelkező 20 méternél kisebb testhosszúságú hajót jelöl.,I,20 főnél több utas szállítására engedéllyel rendelkező 15 méternél nagyobb testhosszúságú hajót jelöl.,N,15 főnél több utas szállítására engedéllyel rendelkező 20 méternél nagyobb testhosszúságú hajót jelöl.,N,xxx-2346.jpg,xxx-2346.jpg
37,"Mit jelöl a hajón látható csúcsával lefelé néző fekete kúp? A fekete kúp azt jelzi, hogy",a vitorlával haladó hajó egyidejűleg saját gépi hajtóberendezését is használ.,I,a 20 méternél kisebb testhosszúságú hajó 12 főnél több utas szállítására rendelkezik engedéllyel.,N,a vitorlával haladó hajó műveletképességében korlátozott.,N,xxx-2700.jpg,xxx-2700.jpg
38,"Mit jelöl a hajón látható csúcsával lefelé néző fekete kúp? A fekete kúp azt jelzi, hogy",a vitorlával haladó hajó egyidejűleg saját gépi hajtóberendezését is használ.,I,a 20 méternél kisebb testhosszúságú hajó 12 főnél több utas szállítására rendelkezik engedéllyel.,N,a vitorlával haladó hajó műveletképességében korlátozott.,N,xxx-1623.jpg,xxx-1623.jpg
39,"Mit jelöl a hajón látható csúcsával lefelé néző fekete kúp? A fekete kúp azt jelzi, hogy",a vitorlával haladó hajó egyidejűleg saját gépi hajtóberendezését is használ.,I,a 20 méternél kisebb testhosszúságú hajó 12 főnél több utas szállítására rendelkezik engedéllyel.,N,a vitorlával haladó hajó műveletképességében korlátozott.,N,xxx-1624.jpg,xxx-1624.jpg
40,"Mit jelöl a hajón látható csúcsával lefelé néző fekete kúp? A fekete kúp azt jelzi, hogy",a vitorlával haladó hajó egyidejűleg saját gépi hajtóberendezését is használ.,I,a 20 méternél kisebb testhosszúságú hajó 12 főnél több utas szállítására rendelkezik engedéllyel.,N,a vitorlával haladó hajó műveletképességében korlátozott.,N,xxx-2303.jpg,xxx-2303.jpg
41,Mit jelölnek a hajón látható jelzőtestek (kettős sárga kúp és fekete kúp)? A jelzőtestek olyan,"20 méternél rövidebb hajót jelölnek, amelyen 12 főnél több utas szállítását engedélyezték és a vitorla mellett egyidejűleg saját gépi erőt is használ.",I,"12 főnél több utas szállítására engedéllyel rendelkező hajót jelölnek, amely meghajtásához vitorla mellett saját gépi erőt is használ és a legnagyobb testhosszúsága már meghaladja 20 métert.",N,"20 méternél kisebb testhosszúságú vitorlás hajót jelölnek, amely meghajtásához vitorla mellett saját gépi erőt is használ.",N,xxx-1625.jpg,xxx-1625.jpg
